,69A,70A,71A,77A,78A,72A,73A,75A,74A,65A,66A,67A,68A,76A,79A,80A,79B
ain,2.0,4.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,5.0
tur,2.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0
hzb,2.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,2.0,,,,,3.0,1.0,1.0,5.0
wra,2.0,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0,5.0
irq,5.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,,,,,2.0,4.0,1.0,1.0
kay,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,5.0
pau,2.0,1.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,,,,,3.0,,,
cha,,,2.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,1.0,5.0
epe,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,,,,,,,,,
jak,4.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0
chk,4.0,5.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,4.0,3.0,4.0,1.0,5.0
brm,2.0,5.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,5.0
awp,2.0,1.0,4.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0
kho,5.0,5.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,5.0
hai,2.0,4.0,,3.0,3.0,4.0,2.0,2.0,1.0,,,,,2.0,,,
abk,2.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,5.0
ind,2.0,5.0,2.0,1.0,1.0,4.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,4.0,1.0,5.0
